event_key,event_name,category,event_type,venue_name,area,city,address,start_date,end_date,event_time,source_sheet,record_id,source_url,verification_status,notes,detail_type,event_id,event_category_id
FIFA Fan Festival™ Los Angeles|Los Angeles Memorial Coliseum|2026-06-11|official_soccer_events,FIFA Fan Festival™ Los Angeles,Fan Festival,FIFA Fan Festival,Los Angeles Memorial Coliseum,Los Angeles,,"3911 S. Figueroa St., Los Angeles, CA 90037",2026-06-11,2026-06-15,,official_soccer_events,LA-FF-001,https://www.discoverlosangeles.com/event/2026/06/11/fifa-fan-festival%E2%84%A2,Verified,Five-day opening weekend celebration. Daily hours TBA. Cross-verified with lacoliseum.com.,experience,1,1
Fan Zone – The Original Farmers Market|The Original Farmers Market|2026-06-18|official_soccer_events,Fan Zone – The Original Farmers Market,Fan Zone,Official Fan Zone,The Original Farmers Market,Los Angeles,,,2026-06-18,2026-06-21,,official_soccer_events,LA-FZ-001,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,,experience,2,2
Fan Zone – City of Downey|City of Downey / Stonewood Center|2026-06-20|official_soccer_events,Fan Zone – City of Downey,Fan Zone,Official Fan Zone,City of Downey / Stonewood Center,Downey,,,2026-06-20,2026-06-20,,official_soccer_events,LA-FZ-002,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Outside Los Angeles city limits.,experience,3,2
Fan Zone – Union Station & LA Plaza de Cultura y Artes|Union Station & LA Plaza de Cultura y Artes|2026-06-25|official_soccer_events,Fan Zone – Union Station & LA Plaza de Cultura y Artes,Fan Zone,Official Fan Zone,Union Station & LA Plaza de Cultura y Artes,Downtown LA,,"501 N Main St., Los Angeles, CA 90012",2026-06-25,2026-06-28,,official_soccer_events,LA-FZ-003,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Combined DTLA activation presented as one fan zone.,experience,4,2
Fan Zone – Hansen Dam Lake|Hansen Dam Lake|2026-07-02|official_soccer_events,Fan Zone – Hansen Dam Lake,Fan Zone,Official Fan Zone,Hansen Dam Lake,Los Angeles,,,2026-07-02,2026-07-05,,official_soccer_events,LA-FZ-004,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Lake View Terrace area of Los Angeles.,experience,5,2
Fan Zone – Earvin 'Magic' Johnson Park|Earvin 'Magic' Johnson Park|2026-07-04|official_soccer_events,Fan Zone – Earvin 'Magic' Johnson Park,Fan Zone,Official Fan Zone,Earvin 'Magic' Johnson Park,Los Angeles,,,2026-07-04,2026-07-05,,official_soccer_events,LA-FZ-005,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,July 4th weekend activation.,experience,6,2
Fan Zone – Whittier Narrows|Whittier Narrows|2026-07-09|official_soccer_events,Fan Zone – Whittier Narrows,Fan Zone,Official Fan Zone,Whittier Narrows,South El Monte,,,2026-07-09,2026-07-11,,official_soccer_events,LA-FZ-006,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Outside Los Angeles city limits.,experience,7,2
Fan Zone – Venice Beach|Venice Beach|2026-07-11|official_soccer_events,Fan Zone – Venice Beach,Fan Zone,Official Fan Zone,Venice Beach,Los Angeles,,,2026-07-11,2026-07-11,,official_soccer_events,LA-FZ-007,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,One-day activation. Venice is within the City of Los Angeles.,experience,8,2
Fan Zone – Fairplex (Pomona)|Fairplex|2026-07-14|official_soccer_events,Fan Zone – Fairplex (Pomona),Fan Zone,Official Fan Zone,Fairplex,Pomona,,,2026-07-14,2026-07-19,,official_soccer_events,LA-FZ-008,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Active July 14-15 and July 18-19 (non-contiguous within window). Outside LA city limits.,experience,9,2
Fan Zone – West Harbor (San Pedro)|West Harbor|2026-07-14|official_soccer_events,Fan Zone – West Harbor (San Pedro),Fan Zone,Official Fan Zone,West Harbor,Los Angeles,,,2026-07-14,2026-07-19,,official_soccer_events,LA-FZ-009,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Active July 14-15 and July 18-19 (non-contiguous). San Pedro is part of City of LA.,experience,10,2
Fan Zone – Downtown Burbank|Downtown Burbank|2026-07-18|official_soccer_events,Fan Zone – Downtown Burbank,Fan Zone,Official Fan Zone,Downtown Burbank,Burbank,,,2026-07-18,2026-07-19,,official_soccer_events,LA-FZ-010,https://losangelesfwc26.com/los-angeles-world-cup-26-fan-zones/,Verified,Outside Los Angeles city limits.,experience,11,2
U.S. Soccer House presented by Bank of America|U.S. Soccer House (Venice Beach)|2026-06-11|official_soccer_events,U.S. Soccer House presented by Bank of America,Official Activity,Federation Fan Hub,U.S. Soccer House (Venice Beach),Venice Beach,,,2026-06-11,2026-07-19,,official_soccer_events,LA-USS-001,https://www.ussoccer.com/stories/2026/03/federation/100-days-to-fifa-mens-world-cup-2026-us-soccer-announces-nationwide-fan-celebrations-soccer-forward-fests-coast-to-coast-experiences,Verified,Exact street address not published. ADA accessible.,experience,12,3
Casa México Los Angeles 2026|LA Plaza de Cultura y Artes|2026-06-11|official_soccer_events,Casa México Los Angeles 2026,Official Activity,National Hospitality House,LA Plaza de Cultura y Artes,Downtown LA,,"501 N Main St., Los Angeles, CA 90012",2026-06-11,2026-07-19,,official_soccer_events,LA-CMX-001,https://mayor.lacity.gov/news/mayor-bass-announces-casa-mexico-first-official-hospitality-house-during-2026-fifa-world-cup,Verified,Official Hospitality House of the Government of Mexico. Telemundo 52/KVEA is media partner.,experience,13,3
Grow the Game of Soccer – Youth Clinic|Cal State LA (Reeder Field)|2026-02-28|official_soccer_events,Grow the Game of Soccer – Youth Clinic,Community Program,Youth Soccer Clinic,Cal State LA (Reeder Field),East Los Angeles,,"5151 State University Drive, Los Angeles, CA 90032",2026-02-28,2026-02-28,,official_soccer_events,LA-GTG-001,https://losangelesfwc26.com/grow-the-game-of-soccer-youth-clinic-uses-the-spotlight-of-fifa-world-cup-2026-to-inspire-the-next-generation-of-players/,Verified,Part of 26-clinic series. This row = confirmed Feb 28 event.,experience,14,4
Community Day – Gloria Molina Grand Park|Gloria Molina Grand Park|2026-03-14|official_soccer_events,Community Day – Gloria Molina Grand Park,Community Program,Volunteer Beautification Event,Gloria Molina Grand Park,Downtown LA,,"200 N Grand Ave, Los Angeles, CA 90012",2026-03-14,2026-03-14,,official_soccer_events,LA-GTG-002,https://www.lacoliseum.com/los-angeles-world-cup-2026-host-committee-unveils-community-and-fan-engagement-plans-ahead-of-fifa-world-cup-2026/,Verified,Event completed March 14. Second Community Day planned spring 2026.,experience,15,4
Kick It With Us Mobile Bus Tour|Multiple pop-up locations across LA region|2026-03-01|official_soccer_events,Kick It With Us Mobile Bus Tour,Community Program,Mobile Activation,Multiple pop-up locations across LA region,Multiple locations,,,2026-03-01,2026-06-30,,official_soccer_events,LA-KIU-001,https://losangelesfwc26.com/wp-content/uploads/2026/03/FWC-26%E2%84%A2-Community-Activation-Toolkit.pdf,Verified (program announced),Specific stop-by-stop schedule not published.,experience,16,4
LA Galaxy Soccer Celebration – Long Beach|Long Beach (Pine St.)|2026-06-11|official_soccer_events,LA Galaxy Soccer Celebration – Long Beach,Club Event,Free Fan Celebration,Long Beach (Pine St.),Long Beach,,,2026-06-11,2026-06-27,,official_soccer_events,LA-LAG-001,https://www.lagalaxy.com/news/la-galaxy-launch-100-day-countdown-to-fifa-world-cup-2026tm-with-expanded-community-events-coastal-soccer-celebration-enhanced-experiences,Verified,Partnered with City of Long Beach and DTLBA.,experience,17,5
LA Galaxy Soccer Celebration – Carson|Galaxy Park|2026-07-04|official_soccer_events,LA Galaxy Soccer Celebration – Carson,Club Event,Free Fan Celebration,Galaxy Park,Carson,,"18400 Avalon Blvd, Carson, CA 90746",2026-07-04,2026-07-07,,official_soccer_events,LA-LAG-002,https://www.lagalaxy.com/news/la-galaxy-launch-100-day-countdown-to-fifa-world-cup-2026tm-with-expanded-community-events-coastal-soccer-celebration-enhanced-experiences,Verified,July 4th weekend activation.,experience,18,5
LA Galaxy Soccer Celebration – Hermosa Beach|Hermosa Beach (south of Hermosa Pier)|2026-07-14|official_soccer_events,LA Galaxy Soccer Celebration – Hermosa Beach,Club Event,Free Fan Celebration,Hermosa Beach (south of Hermosa Pier),Hermosa Beach,,,2026-07-14,2026-07-19,,official_soccer_events,LA-LAG-003,https://www.lagalaxy.com/news/la-galaxy-launch-100-day-countdown-to-fifa-world-cup-2026tm-with-expanded-community-events-coastal-soccer-celebration-enhanced-experiences,Verified,"Hermosa Beach Parks & Rec commission approved Jan 6, 2026.",experience,19,5
